,precision,recall,f1
air_conditioner,0.6997495610239413,0.5505000000000001,0.5950081077784817
car_horn,0.9126711396246903,0.8809032298837642,0.8933596848089319
children_playing,0.810287204777171,0.8105,0.8078435723469555
dog_bark,0.8752372864852603,0.8344999999999999,0.8523848521071085
drilling,0.7351873607503558,0.8185,0.7666096222125172
engine_idling,0.7887676337943451,0.7280788513993444,0.7486253301277428
gun_shot,0.7639568569262308,0.9516378960327764,0.8448027162141356
jackhammer,0.7213786326007365,0.7367712260178092,0.7235927497592508
siren,0.856485099139243,0.8181607836515365,0.8305867838132167
street_music,0.7946663130706362,0.8280000000000001,0.8025702683349442
