epochs,mean_train_loss,mean_valid_loss,micro_f1,macro_f1
epoch_1,3.705,3.186,0.205,0.1592
epoch_2,2.879,2.637,0.3474,0.3076
epoch_3,2.193,2.322,0.415,0.3894
epoch_4,1.622,2.09,0.48,0.4583
epoch_5,1.237,1.919,0.5176,0.4875
epoch_6,0.8545,1.752,0.5376,0.52
epoch_7,0.665,1.768,0.54,0.535
epoch_8,0.5283,1.717,0.5425,0.5215
epoch_9,0.395,1.617,0.5723,0.5645
epoch_10,0.2852,1.61,0.5776,0.567
epoch_11,0.2585,1.533,0.5923,0.5923
epoch_12,0.1903,1.523,0.5977,0.5913
epoch_13,0.1669,1.518,0.605,0.602
epoch_14,0.132,1.508,0.605,0.597
epoch_15,0.122,1.52,0.5874,0.5796
epoch_16,0.0897,1.458,0.6123,0.605
epoch_17,0.0759,1.447,0.6,0.593
epoch_18,0.07117,1.422,0.61,0.6016
epoch_19,0.0742,1.411,0.605,0.594
epoch_20,0.0683,1.412,0.6074,0.5996
epoch_21,0.0682,1.418,0.6177,0.608
