epochs,mean_train_loss,mean_valid_loss,micro_f1,macro_f1
epoch_1,3.754,3.562,0.165,0.10864
epoch_2,3.39,3.229,0.265,0.2015
epoch_3,3.045,2.92,0.33,0.2727
epoch_4,2.754,2.688,0.4126,0.353
epoch_5,2.527,2.531,0.415,0.3628
epoch_6,2.322,2.379,0.46,0.4167
epoch_7,2.154,2.29,0.46,0.4177
epoch_8,1.99,2.152,0.4875,0.4604
epoch_9,1.857,2.04,0.51,0.48
epoch_10,1.736,1.973,0.505,0.4731
epoch_11,1.604,1.882,0.5327,0.4966
epoch_12,1.535,1.839,0.555,0.524
epoch_13,1.436,1.766,0.55,0.514
epoch_14,1.339,1.73,0.5576,0.5317
epoch_15,1.26,1.677,0.585,0.5557
epoch_16,1.197,1.663,0.5825,0.551
epoch_17,1.135,1.605,0.6123,0.584
epoch_18,1.068,1.511,0.61,0.5864
epoch_19,0.996,1.51,0.615,0.593
epoch_20,0.958,1.471,0.63,0.613
epoch_21,0.915,1.471,0.62,0.5933
epoch_22,0.8584,1.447,0.625,0.6035
epoch_23,0.821,1.369,0.6323,0.613
epoch_24,0.7925,1.34,0.6475,0.6245
epoch_25,0.7393,1.328,0.665,0.6445
epoch_26,0.709,1.323,0.65,0.625
epoch_27,0.6743,1.313,0.665,0.6494
epoch_28,0.6284,1.263,0.655,0.6396
epoch_29,0.6143,1.269,0.6675,0.6484
epoch_30,0.588,1.25,0.675,0.6636
epoch_31,0.557,1.278,0.675,0.658
epoch_32,0.517,1.228,0.68,0.661
epoch_33,0.505,1.217,0.6777,0.661
epoch_34,0.5073,1.209,0.6724,0.653
epoch_35,0.4902,1.218,0.665,0.6475
epoch_36,0.4956,1.207,0.6826,0.67
epoch_37,0.5015,1.206,0.675,0.6616
epoch_38,0.4827,1.203,0.69,0.677
epoch_39,0.482,1.205,0.675,0.66
