epochs,mean_train_loss,mean_valid_loss,micro_f1,macro_f1
epoch_1,3.66,3.02,0.2476,0.1863
epoch_2,2.72,2.441,0.3826,0.3325
epoch_3,2.102,2.07,0.49,0.4453
epoch_4,1.466,1.746,0.5474,0.5264
epoch_5,1.118,1.725,0.5474,0.529
epoch_6,0.7944,1.637,0.5674,0.5625
epoch_7,0.577,1.55,0.5977,0.5815
epoch_8,0.4263,1.51,0.585,0.574
epoch_9,0.3042,1.401,0.6,0.5894
epoch_10,0.2656,1.486,0.585,0.5723
epoch_11,0.2045,1.392,0.6074,0.5947
epoch_12,0.1735,1.397,0.6226,0.612
epoch_13,0.1268,1.367,0.615,0.607
epoch_14,0.12335,1.352,0.62,0.6084
epoch_15,0.11017,1.343,0.6274,0.6157
epoch_16,0.10144,1.352,0.6274,0.6157
epoch_17,0.1054,1.348,0.635,0.6235
epoch_18,0.0997,1.355,0.6323,0.62
