epochs,mean_train_loss,mean_valid_loss,micro_f1,macro_f1
epoch_1,3.658,3.088,0.2524,0.2025
epoch_2,2.824,2.682,0.32,0.2786
epoch_3,2.193,2.262,0.425,0.3855
epoch_4,1.664,2.146,0.4375,0.4116
epoch_5,1.301,2.008,0.4824,0.452
epoch_6,0.923,1.861,0.52,0.504
epoch_7,0.6987,1.801,0.5327,0.52
epoch_8,0.54,1.746,0.55,0.527
epoch_9,0.4136,1.678,0.5776,0.559
epoch_10,0.3333,1.685,0.55,0.5303
epoch_11,0.2556,1.64,0.5776,0.558
epoch_12,0.1964,1.653,0.5474,0.5312
epoch_13,0.1774,1.591,0.575,0.558
epoch_14,0.1395,1.564,0.6,0.586
epoch_15,0.1478,1.553,0.6,0.5825
epoch_16,0.1295,1.549,0.605,0.592
epoch_17,0.13,1.566,0.58,0.563
epoch_18,0.1261,1.552,0.59,0.574
epoch_19,0.1211,1.548,0.5923,0.575
epoch_20,0.12036,1.586,0.565,0.546
