epochs,mean_train_loss,mean_valid_loss,micro_f1,macro_f1
epoch_1,3.63,2.996,0.2075,0.1494
epoch_2,2.78,2.555,0.3574,0.328
epoch_3,2.193,2.283,0.45,0.4275
epoch_4,1.597,2.045,0.53,0.5024
epoch_5,1.2,1.865,0.5327,0.511
epoch_6,0.8438,1.796,0.52,0.4849
epoch_7,0.65,1.687,0.565,0.5464
epoch_8,0.4734,1.655,0.59,0.5723
epoch_9,0.344,1.604,0.59,0.5684
epoch_10,0.2888,1.605,0.5825,0.5747
epoch_11,0.22,1.572,0.6025,0.5864
epoch_12,0.19,1.535,0.6,0.584
epoch_13,0.1512,1.626,0.5723,0.5405
epoch_14,0.1333,1.516,0.6177,0.593
epoch_15,0.1114,1.492,0.6123,0.592
epoch_16,0.0912,1.48,0.61,0.5884
epoch_17,0.0953,1.475,0.62,0.5986
epoch_18,0.09705,1.474,0.62,0.5996
epoch_19,0.082,1.482,0.61,0.5894
epoch_20,0.0858,1.466,0.61,0.59
epoch_21,0.08954,1.489,0.6025,0.585
