epochs,mean_train_loss,mean_valid_loss,micro_f1,macro_f1
epoch_1,3.645,3.145,0.185,0.1465
epoch_2,2.89,2.607,0.325,0.2715
epoch_3,2.27,2.32,0.395,0.369
epoch_4,1.745,2.113,0.485,0.4639
epoch_5,1.364,1.99,0.4724,0.4456
epoch_6,1.007,1.836,0.52,0.5024
epoch_7,0.7974,1.793,0.5474,0.524
epoch_8,0.628,1.712,0.56,0.545
epoch_9,0.4849,1.694,0.565,0.55
epoch_10,0.3862,1.65,0.5674,0.553
epoch_11,0.305,1.592,0.57,0.5566
epoch_12,0.2372,1.63,0.5776,0.567
epoch_13,0.2083,1.587,0.575,0.567
epoch_14,0.1963,1.605,0.555,0.5327
epoch_15,0.142,1.554,0.5776,0.5605
epoch_16,0.1367,1.549,0.58,0.5635
epoch_17,0.11993,1.513,0.6,0.5864
epoch_18,0.1101,1.506,0.59,0.5786
epoch_19,0.1108,1.508,0.6025,0.5913
epoch_20,0.113,1.519,0.5825,0.571
