epochs,mean_train_loss,mean_valid_loss,micro_f1,macro_f1
epoch_1,3.777,3.578,0.18,0.1259
epoch_2,3.426,3.25,0.2225,0.1382
epoch_3,3.104,2.979,0.2876,0.214
epoch_4,2.852,2.793,0.305,0.2346
epoch_5,2.611,2.613,0.3774,0.3257
epoch_6,2.43,2.451,0.42,0.3718
epoch_7,2.219,2.27,0.45,0.4116
epoch_8,2.084,2.14,0.4775,0.4443
epoch_9,1.933,2.059,0.51,0.4736
epoch_10,1.799,1.974,0.5024,0.4744
epoch_11,1.686,1.875,0.525,0.4944
epoch_12,1.575,1.798,0.5527,0.5264
epoch_13,1.457,1.715,0.5625,0.534
epoch_14,1.416,1.652,0.59,0.558
epoch_15,1.339,1.612,0.5923,0.5625
epoch_16,1.286,1.632,0.595,0.5674
epoch_17,1.193,1.536,0.63,0.6074
epoch_18,1.141,1.466,0.6226,0.597
epoch_19,1.05,1.427,0.64,0.626
epoch_20,1.022,1.436,0.645,0.6187
epoch_21,0.971,1.399,0.65,0.6274
epoch_22,0.958,1.382,0.6626,0.636
epoch_23,0.927,1.375,0.665,0.6357
epoch_24,0.932,1.37,0.6626,0.6353
epoch_25,0.927,1.361,0.655,0.627
epoch_26,0.9326,1.376,0.66,0.637
epoch_27,0.907,1.351,0.67,0.6416
epoch_28,0.9287,1.363,0.6626,0.6333
