;epochs;mean_train_loss;mean_valid_loss;micro_recall;micro_precision;micro_f1;macro_recall;macro_precision;macro_f1
1;epoch_136;0,10156;1.214;0,7285;0,7285;0,7285;0,7285;0,7485;0,7256
5;epoch_95;0,2402;1.225;0,701;0,701;0,701;0,701;0,692;0,6816
4;epoch_101;0,226;0,8335;0,761;0,761;0,761;0,761;0,78;0,7544
3;epoch_128;0,11646;1.192;0,7236;0,7236;0,7236;0,7236;0,741;0,7197
2;epoch_132;0,12024;1.046;0,7515;0,7515;0,7515;0,7515;0,774;0,745
