,precision,recall,f1
airplane,0.7276159352629941,0.8,0.7535279274364046
breathing,0.798189658638575,0.825,0.7984848484848485
brushing_teeth,0.711965811965812,0.6875,0.6773173498790197
can_opening,0.7479925303454715,0.775,0.7598573975044564
car_horn,0.8337301587301587,0.7,0.7470862257946657
cat,0.7358333333333333,0.7,0.7053857428857429
chainsaw,0.8492101293958878,0.775,0.8042812360053739
chirping_birds,0.7653889626025849,0.775,0.76698752228164
church_bells,0.8096115288220552,0.825,0.7960945738365093
clapping,0.8329308565531477,0.8375,0.8256832534251888
clock_alarm,0.7023809523809523,0.6375,0.6462787010613098
clock_tick,0.729502262443439,0.85,0.778503933342643
coughing,0.8025787284610815,0.7875,0.7798135816711669
cow,0.8745098039215687,0.675,0.7451233907704496
crackling_fire,0.7844696969696969,0.7125,0.7387800819252432
crickets,0.6125,0.5375,0.5665645161290322
crow,0.6312193527296502,0.575,0.5763394320939077
crying_baby,0.857468671679198,0.925,0.8864752771204385
dog,0.8867243867243868,0.9625,0.9182249742002064
door_wood_creaks,0.7100909895730868,0.7875,0.7281093906093906
door_wood_knock,0.7882142857142858,0.875,0.821690224707466
drinking_sipping,0.6435809071103188,0.9125,0.7472977876256042
engine,0.7831510809451986,0.8,0.7892671645460692
fireworks,0.7258297258297258,0.675,0.6962625623726193
footsteps,0.6858807858807858,0.625,0.630823752210582
frog,0.7248331054910002,0.775,0.7392824967824967
glass_breaking,0.6614009661835749,0.575,0.5849367171617811
hand_saw,0.830952380952381,0.8,0.8089499844672258
helicopter,0.8343915343915345,0.8,0.7961699201644482
hen,0.6078754578754578,0.625,0.6096196167190083
insects,0.8010695187165775,0.9125,0.8495820080360179
keyboard_typing,0.7224896842288147,0.7625,0.7236299184686281
laughing,0.6804066985645932,0.675,0.6710317460317461
mouse_click,0.6531016042780748,0.5375,0.5818767289355524
pig,0.8603174603174603,0.8375,0.8274609451080039
pouring_water,0.6796825396825397,0.5875,0.6130638286170008
rain,0.7721681096681097,0.625,0.6835322580645161
rooster,0.9167543859649122,0.8875,0.8984578102653742
sea_waves,0.7505827505827506,0.75,0.7425589836660617
sheep,0.781904761904762,0.8625,0.8106087654474752
siren,0.3812911725955204,0.2625,0.2819373219373219
sneezing,0.9266666666666665,0.825,0.8687148808355378
snoring,0.7589276220855168,0.675,0.6978315458315458
thunderstorm,0.807609710550887,0.7875,0.793170359052712
toilet_flush,0.6492727272727272,0.5,0.528382818626721
train,0.6637719298245613,0.6625,0.6456043956043955
vacuum_cleaner,0.8296212121212122,0.7375,0.761622914122914
washing_machine,0.5808232118758434,0.7125,0.6347465437788019
water_drops,0.6017307692307693,0.5875,0.5912850698306761
wind,0.8446353383458647,0.8625,0.8377510001290489
