,precision,recall,f1
air_conditioner,0.6267464637884441,0.5485000000000001,0.575410364159558
car_horn,0.8757475743966314,0.8516860884339522,0.8583067306554518
children_playing,0.778127640356978,0.7904999999999999,0.7784500791941047
dog_bark,0.8192575377588165,0.8035,0.8099932939807285
drilling,0.7059142929634843,0.7985,0.7406954270395988
engine_idling,0.6838078798663034,0.6711574630389363,0.6724480469043422
gun_shot,0.8340187045978015,0.9329745051670922,0.8773960882273935
jackhammer,0.7712577380735632,0.7185351773893125,0.732148175037562
siren,0.8449741168071869,0.8043373985725328,0.8192494126862148
street_music,0.7994123970550182,0.8140000000000001,0.8041268278802296
