,air_conditioner,air_conditioner,air_conditioner,car_horn,car_horn,car_horn,children_playing,children_playing,children_playing,dog_bark,dog_bark,dog_bark,drilling,drilling,drilling,engine_idling,engine_idling,engine_idling,gun_shot,gun_shot,gun_shot,jackhammer,jackhammer,jackhammer,siren,siren,siren,street_music,street_music,street_music
,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1
9,0.7967479674796748,0.49,0.6068111455108359,0.8591549295774648,0.953125,0.9037037037037037,0.9506172839506173,0.77,0.850828729281768,0.7766990291262136,0.8,0.788177339901478,0.7670454545454546,0.675,0.7180851063829787,0.8375634517766497,0.9269662921348315,0.8799999999999999,0.8979591836734694,0.7096774193548387,0.7927927927927928,0.7440758293838863,0.9573170731707317,0.8373333333333333,0.9382716049382716,0.926829268292683,0.9325153374233128,0.6727272727272727,0.925,0.7789473684210527
1,0.6551724137931034,0.57,0.6096256684491977,0.6823529411764706,0.8055555555555556,0.7388535031847134,0.9878048780487805,0.81,0.8901098901098902,0.8133333333333334,0.915,0.8611764705882353,0.44598337950138506,0.805,0.5739750445632799,0.7983870967741935,0.515625,0.6265822784810127,0.7777777777777778,0.9,0.8344370860927153,0.7666666666666667,0.4791666666666667,0.5897435897435898,0.8048780487804879,0.9593023255813954,0.8753315649867374,0.7853107344632768,0.695,0.7374005305039788
8,0.5546218487394958,0.33,0.41379310344827586,0.9272727272727272,0.85,0.8869565217391303,0.5689655172413793,0.66,0.6111111111111112,0.783068783068783,0.74,0.7609254498714654,0.8086124401913876,0.845,0.8264058679706601,0.532608695652174,0.5568181818181818,0.5444444444444444,0.7681159420289855,0.8833333333333333,0.8217054263565893,0.8511904761904762,0.9166666666666666,0.882716049382716,0.7384615384615385,0.9,0.811267605633803,0.78125,0.75,0.7653061224489796
3,0.43119266055045874,0.235,0.3042071197411003,0.95,0.8837209302325582,0.9156626506024096,0.6779661016949152,0.8,0.7339449541284404,0.8402061855670103,0.815,0.8274111675126902,0.5306122448979592,0.78,0.6315789473684211,0.4010989010989011,0.3411214953271028,0.3686868686868687,0.8518518518518519,0.9583333333333334,0.9019607843137256,0.5320754716981132,0.5875,0.5584158415841584,0.9077669902912622,0.7857142857142857,0.8423423423423423,0.7192118226600985,0.73,0.7245657568238213
6,0.453781512605042,0.54,0.49315068493150693,0.7894736842105263,0.8035714285714286,0.7964601769911505,0.7981220657276995,0.85,0.8232445520581112,0.7966101694915254,0.705,0.7480106100795756,0.8883720930232558,0.955,0.9204819277108434,0.6386138613861386,0.602803738317757,0.6201923076923077,0.773109243697479,1.0,0.8720379146919433,0.967032967032967,0.6470588235294118,0.775330396475771,0.7659574468085106,0.7297297297297297,0.7474048442906575,0.8341968911917098,0.805,0.8193384223918575
2,0.5679012345679012,0.46,0.5082872928176795,0.8604651162790697,0.8809523809523809,0.8705882352941177,0.759825327510917,0.87,0.8111888111888113,0.9234972677595629,0.845,0.8825065274151436,0.6695652173913044,0.77,0.7162790697674418,0.5151515151515151,0.68,0.5862068965517241,0.8,0.9714285714285714,0.8774193548387097,0.46296296296296297,0.3125,0.3731343283582089,0.8092485549132948,0.7692307692307693,0.7887323943661972,0.8960396039603961,0.905,0.9004975124378108
4,0.6,0.6,0.6,1.0,0.6271186440677966,0.7708333333333333,0.6923076923076923,0.765,0.7268408551068885,0.7813953488372093,0.84,0.8096385542168675,0.6120401337792643,0.915,0.7334669338677355,0.7863636363636364,0.8084112149532711,0.7972350230414748,0.8902439024390244,0.9605263157894737,0.9240506329113923,0.8304093567251462,0.5916666666666667,0.6909975669099757,0.8957654723127035,0.8283132530120482,0.8607198748043818,0.8010471204188482,0.765,0.7826086956521738
5,0.7685589519650655,0.88,0.8205128205128205,0.9417989417989417,0.9081632653061225,0.9246753246753245,0.9096045197740112,0.805,0.8541114058355438,0.8166666666666667,0.735,0.7736842105263156,0.6984924623115578,0.695,0.6967418546365914,0.7525773195876289,0.6822429906542056,0.7156862745098038,0.797979797979798,0.9875,0.88268156424581,0.8786764705882353,0.9958333333333333,0.93359375,0.9428571428571428,0.9295774647887324,0.9361702127659575,0.927461139896373,0.895,0.910941475826972
10,0.8074534161490683,0.65,0.7202216066481996,0.8676470588235294,0.8939393939393939,0.8805970149253731,0.5765124555160143,0.81,0.6735966735966735,0.8032786885245902,0.735,0.7676240208877284,0.8743169398907104,0.8,0.8355091383812011,0.8268156424581006,0.7956989247311828,0.810958904109589,0.8732394366197183,0.96875,0.9185185185185184,0.8461538461538461,0.9739583333333334,0.9055690072639225,0.7868852459016393,0.5783132530120482,0.6666666666666666,0.8097560975609757,0.83,0.8197530864197532
7,0.6320346320346321,0.73,0.6774941995359628,0.8793103448275862,0.9107142857142857,0.8947368421052632,0.8595505617977528,0.765,0.8095238095238095,0.8578199052132701,0.905,0.8807785888077859,0.764102564102564,0.745,0.7544303797468352,0.748898678414097,0.8018867924528302,0.774487471526196,0.9099099099099099,0.9901960784313726,0.9483568075117371,0.8333333333333334,0.7236842105263158,0.7746478873239436,0.8596491228070176,0.6363636363636364,0.7313432835820897,0.7671232876712328,0.84,0.8019093078758951
