,epochs,micro_recall,micro_precision,micro_f1,macro_recall,macro_precision,macro_f1
9,epoch_1,0.7085,0.7085,0.7085,0.7344,0.7197,0.7188
8,epoch_1,0.649,0.649,0.649,0.665,0.6567,0.6406
7,epoch_1,0.6226,0.6226,0.6226,0.6143,0.6274,0.606
5,epoch_1,0.6920000000000001,0.6920000000000001,0.6920000000000001,0.7104,0.6987,0.6865
6,epoch_1,0.6523,0.6523,0.6523,0.662,0.652,0.65
2,epoch_1,0.5903,0.5903,0.5903,0.6025,0.5947,0.5864
3,epoch_1,0.565,0.565,0.565,0.5913,0.5947,0.5757
4,epoch_1,0.6629999999999999,0.6629999999999999,0.6629999999999999,0.654,0.6579999999999999,0.649
10,epoch_1,0.7183,0.7183,0.7183,0.72,0.7383,0.7153
1,epoch_1,0.6724,0.6724,0.6724,0.675,0.6709999999999999,0.6577
