,precision,recall,f1
air_conditioner,0.5853556777143349,0.49750000000000005,0.5189205263662061
car_horn,0.5997792060395687,0.5565916761602576,0.561538716492411
children_playing,0.5834039038551373,0.6925000000000001,0.6287134163643309
dog_bark,0.7560927374191369,0.7085,0.7254785092792311
drilling,0.6931429015806605,0.634,0.6539022203875798
engine_idling,0.6236012449714899,0.5426899820904042,0.5690952594401273
gun_shot,0.6489664426241774,0.9074711999443856,0.7441790494794209
jackhammer,0.6805685468959966,0.6685069815548418,0.6622134718911432
siren,0.7675478289329939,0.7327852407116915,0.7427074677511396
street_music,0.6726116025629163,0.689,0.6788340370918673
