,epochs,mean_train_loss,mean_valid_loss,micro_recall,micro_precision,micro_f1,macro_recall,macro_precision,macro_f1
5,epoch_87,0.10583,1.412,0.6475,0.6475,0.6475,0.6475,0.6475,0.6313
4,epoch_113,0.0383,1.31,0.674,0.674,0.674,0.674,0.6809999999999999,0.6609999999999999
3,epoch_85,0.1173,1.381,0.669,0.669,0.669,0.669,0.6816,0.6553
2,epoch_106,0.05,1.5219999999999998,0.6387,0.6387,0.6387,0.6387,0.66,0.6255
1,epoch_114,0.03323,1.462,0.6465,0.6465,0.6465,0.6465,0.6626,0.6387
