;epochs;mean_train_loss;mean_valid_loss;micro_recall;micro_precision;micro_f1;macro_recall;macro_precision;macro_f1
1;epoch_145;0,04266;13.519.999.999.999.900;0,6973;0,6973;0,6973;0,6973;0,699;0,683
3;epoch_79;0,2454;1.324;0,6636;0,6636;0,6636;0,6636;0,688;0,657
2;epoch_73;0,3093;1,24;0,675;0,675;0,675;0,675;0,689;0,6675
5;epoch_110;0,10364;1.516;0,6523;0,6523;0,6523;0,6523;0,6606;0,637
4;epoch_140;0,05243;0,9155;0,7437;0,7437;0,7437;0,7437;0,756;0,733
