;epochs;mean_train_loss;mean_valid_loss;micro_recall;micro_precision;micro_f1;macro_recall;macro_precision;macro_f1
5;epoch_105;0,279;21.719.999.999.999.900;0,52;0,52;0,52;0,52;0,525;0,502
4;epoch_105;0,289;16.640.000.000.000.000;0,5625;0,5625;0,5625;0,5625;0,5903;0,553
3;epoch_96;0,3386;2.129;0,541;0,541;0,541;0,541;0,564;0,5337
2;epoch_104;0,2808;2.334;0,495;0,495;0,495;0,495;0,5015;0,4785
1;epoch_111;0,2512;2.055;0,516;0,516;0,516;0,516;0,5205;0,507
