,precision,recall,f1
airplane,0.6437171717171718,0.775,0.6976160259954742
breathing,0.6852525252525251,0.8375,0.7526659786721707
brushing_teeth,0.5761904761904761,0.5375,0.5351844731928883
can_opening,0.5213888888888889,0.5125,0.5136927351585796
car_horn,0.75003663003663,0.65,0.6808015347165127
cat,0.48310160427807497,0.4625,0.4679064556144352
chainsaw,0.7208274078862315,0.725,0.717658987736852
chirping_birds,0.288468720821662,0.2875,0.2871479500891265
church_bells,0.5646872082166199,0.575,0.5649965720553956
clapping,0.7865824534942182,0.8,0.7910942590202226
clock_alarm,0.5545209176788125,0.475,0.5043322861787823
clock_tick,0.4753535257845603,0.6125,0.5163762855414398
coughing,0.45809523809523806,0.5875,0.5075445712191855
cow,0.5217180205415499,0.4125,0.44322276937143695
crackling_fire,0.5233333333333333,0.4875,0.4913978494623656
crickets,0.256281512605042,0.225,0.23550901996554172
crow,0.34709956709956713,0.3375,0.3250885668276972
crying_baby,0.6911779448621554,0.7875,0.7186768757500465
dog,0.8071753246753246,0.8,0.7903229448961155
door_wood_creaks,0.636860646599777,0.6875,0.6475933234133403
door_wood_knock,0.5708839547549225,0.5875,0.551397843795973
drinking_sipping,0.44331047053370104,0.7,0.5262457731630665
engine,0.8071010860484545,0.5375,0.615476002258611
fireworks,0.29306812468577176,0.375,0.32560160427807483
footsteps,0.555879120879121,0.65,0.5926190476190476
frog,0.2856547619047619,0.3,0.2821762505843853
glass_breaking,0.5556060606060605,0.3,0.38154253154253154
hand_saw,0.8490411549235078,0.775,0.7682082440703131
helicopter,0.470171568627451,0.5875,0.5121726603899779
hen,0.3833333333333333,0.275,0.29315315315315316
insects,0.7501037851037851,0.75,0.7452208699571783
keyboard_typing,0.5775446775446775,0.6125,0.583484065132405
laughing,0.7727395411605937,0.7,0.7256923918992884
mouse_click,0.42657342657342656,0.2375,0.2872955568999126
pig,0.6589533011272142,0.825,0.7243679509620995
pouring_water,0.45555555555555555,0.3625,0.4006666666666666
rain,0.5608080808080809,0.3125,0.393090761090761
rooster,0.7336752136752136,0.6375,0.6677129334492415
sea_waves,0.7,0.7,0.6890168970814132
sheep,0.5208649109511179,0.6875,0.5820988845988846
siren,0.2882051282051282,0.1375,0.1769243460713515
sneezing,0.4771428571428572,0.425,0.4206214177978883
snoring,0.5683333333333334,0.4625,0.5062477844735909
thunderstorm,0.40413752913752915,0.3,0.34126307302058134
toilet_flush,0.3822222222222222,0.2625,0.29399222999223
train,0.38421052631578945,0.3375,0.3416849816849817
vacuum_cleaner,0.6357657203786771,0.6375,0.5968987334504576
washing_machine,0.2622659875495189,0.35,0.2865647564682333
water_drops,0.19605263157894737,0.1875,0.19071428571428573
wind,0.7525,0.7625,0.7478456221198156
