,epochs,mean_train_loss,mean_valid_loss,micro_recall,micro_precision,micro_f1,macro_recall,macro_precision,macro_f1
5,epoch_122,0.08887,1.203,0.7324,0.7324,0.7324,0.7324,0.7344,0.721
4,epoch_74,0.3455,0.8029999999999999,0.795,0.795,0.795,0.795,0.8237,0.7915
3,epoch_100,0.1626,0.9736,0.755,0.755,0.755,0.755,0.7734,0.7495
2,epoch_121,0.09752999999999999,1.021,0.7390000000000001,0.7390000000000001,0.7390000000000001,0.7390000000000001,0.7627,0.731
1,epoch_133,0.08026,1.101,0.7285,0.7285,0.7285,0.7285,0.7417,0.7236
