,precision,recall,f1
airplane,0.8058512293806412,0.825,0.8052722898592986
breathing,0.7879161043634728,0.8125,0.7972145754853666
brushing_teeth,0.6923809523809524,0.8125,0.7390120079039367
can_opening,0.7307602339181287,0.775,0.738659307684064
car_horn,0.8828431372549019,0.7625,0.8027056277056277
cat,0.6970868347338934,0.7,0.6887385919643985
chainsaw,0.8415873015873017,0.775,0.7943801511687398
chirping_birds,0.9386363636363637,0.6625,0.7669413919413919
church_bells,0.8498205071502285,0.8,0.8075664225909669
clapping,0.8635859728506787,0.8125,0.8260747394368085
clock_alarm,0.6365964912280702,0.675,0.6420423478960064
clock_tick,0.7432614379084967,0.875,0.798833746358854
coughing,0.8143790849673203,0.875,0.84349376114082
cow,0.8846153846153847,0.7625,0.8074586333207023
crackling_fire,0.8517460317460317,0.825,0.8279536462458663
crickets,0.7335531135531135,0.5375,0.6087131259545051
crow,0.5603174603174603,0.5125,0.5281917211328976
crying_baby,0.9527777777777778,0.9375,0.9434503478810881
dog,0.8961988304093567,0.925,0.9077591036414565
door_wood_creaks,0.7128279137742053,0.9125,0.7933954933954934
door_wood_knock,0.7989529974669294,0.9125,0.8486277276769636
drinking_sipping,0.7163039215686274,0.9,0.7867484731287676
engine,0.9420814479638009,0.7625,0.820271682340648
fireworks,0.7529308220383736,0.8,0.7676746242263485
footsteps,0.7052115583075336,0.775,0.7358381548704128
frog,0.8101158645276293,0.7,0.719771018455229
glass_breaking,0.6574853393267716,0.625,0.6213993725572673
hand_saw,0.9263305322128852,0.85,0.8834632034632035
helicopter,0.8112698412698413,0.85,0.8233660334229596
hen,0.739090909090909,0.575,0.6451100870455708
insects,0.8503783969728242,0.9625,0.9020881079704608
keyboard_typing,0.8646153846153846,0.7375,0.7729246487867176
laughing,0.6545722904546435,0.8375,0.7145587745587746
mouse_click,0.7949494949494949,0.525,0.630925518925519
pig,0.7771536796536797,0.8125,0.7818808834301194
pouring_water,0.7113830613830614,0.575,0.622351549371513
rain,0.7169683257918551,0.6875,0.6976028028766366
rooster,0.9130392156862743,0.825,0.8631778214369984
sea_waves,0.82,0.85,0.831996512641674
sheep,0.6916191225654141,0.9125,0.7831501831501833
siren,0.38217338217338215,0.2625,0.28855905388942094
sneezing,0.8281035923141186,0.825,0.8231101472847204
snoring,0.7127839480780657,0.7375,0.7000162475153402
thunderstorm,0.7278446115288221,0.75,0.7253820073174911
toilet_flush,0.5005283605283605,0.4625,0.4693860841697619
train,0.6842211292543773,0.7375,0.696443898125984
vacuum_cleaner,0.9170238095238096,0.6875,0.7644155575607188
washing_machine,0.5175438596491228,0.5875,0.5484240868681096
water_drops,0.7079545454545455,0.6125,0.6197075349664484
wind,0.8503267973856209,0.7875,0.8062887700534759
