,epochs,mean_train_loss,mean_valid_loss,micro_recall,micro_precision,micro_f1,macro_recall,macro_precision,macro_f1
5,epoch_100,0.1887,1.156,0.7114,0.7114,0.7114,0.7114,0.72,0.6997
4,epoch_72,0.44299999999999995,0.7656,0.785,0.785,0.785,0.785,0.8022,0.778
3,epoch_79,0.3223,1.0590000000000002,0.6987,0.6987,0.6987,0.6987,0.72,0.69
2,epoch_99,0.2281,0.9263,0.7427,0.7427,0.7427,0.7427,0.7627,0.736
1,epoch_74,0.4033,1.047,0.7275,0.7275,0.7275,0.7275,0.747,0.726
