,epochs,mean_train_loss,mean_valid_loss,micro_recall,micro_precision,micro_f1,macro_recall,macro_precision,macro_f1
5,epoch_113,0.2593,1.226,0.6940000000000001,0.6940000000000001,0.6940000000000001,0.6940000000000001,0.713,0.6787
4,epoch_132,0.1869,0.6846,0.799,0.799,0.799,0.799,0.8109999999999999,0.7959999999999999
3,epoch_113,0.2446,0.877,0.759,0.759,0.759,0.759,0.7773,0.754
2,epoch_70,0.6084,1.042,0.705,0.705,0.705,0.705,0.7334,0.6973
1,epoch_73,0.562,1.101,0.705,0.705,0.705,0.705,0.7324,0.6990000000000001
