;epochs;mean_train_loss;mean_valid_loss;micro_recall;micro_precision;micro_f1;macro_recall;macro_precision;macro_f1
1;epoch_117;0,1815;19.709.999.999.999.900;0,54;0,54;0,54;0,54;0,5444;0,5273
2;epoch_78;0,476;2.207;0,4836;0,4836;0,4836;0,4836;0,513;0,4795
3;epoch_106;0,2356;2.123;0,516;0,516;0,516;0,516;0,543;0,5015
4;epoch_89;0,3745;1.733;0,56;0,56;0,56;0,56;0,5933;0,5464
5;epoch_105;0,2301;2,06;0,53;0,53;0,53;0,53;0,5405;0,515
