epochs,mean_train_loss,mean_valid_loss,micro_f1,macro_f1
epoch_1,3.904,3.89,0.0625,0.010994
epoch_2,3.889,3.887,0.0475,0.00958
epoch_3,3.873,3.879,0.075,0.0257
epoch_4,3.875,3.865,0.09,0.0381
epoch_5,3.863,3.85,0.0975,0.0445
epoch_6,3.844,3.855,0.09,0.04953
epoch_7,3.832,3.855,0.09,0.04132
epoch_8,3.822,3.854,0.0875,0.0534
epoch_9,3.812,3.836,0.115,0.06152
epoch_10,3.807,3.83,0.115,0.06107
epoch_11,3.805,3.826,0.1225,0.0722
epoch_12,3.799,3.822,0.12,0.08276
epoch_13,3.803,3.83,0.1125,0.0726
epoch_14,3.771,3.816,0.14,0.09534
epoch_15,3.768,3.81,0.1375,0.093
epoch_16,3.758,3.809,0.1375,0.098
epoch_17,3.754,3.805,0.1375,0.1033
epoch_18,3.758,3.793,0.15,0.10675
epoch_19,3.752,3.797,0.1525,0.11255
epoch_20,3.742,3.79,0.165,0.1219
epoch_21,3.742,3.783,0.1675,0.1168
epoch_22,3.736,3.78,0.1675,0.1241
epoch_23,3.725,3.773,0.1775,0.1321
epoch_24,3.723,3.773,0.1825,0.1388
epoch_25,3.729,3.77,0.185,0.142
epoch_26,3.725,3.768,0.1875,0.144
epoch_27,3.703,3.76,0.19,0.1442
epoch_28,3.713,3.764,0.18,0.1359
