epochs,mean_train_loss,mean_valid_loss,micro_f1,macro_f1
epoch_1,3.91,3.904,0.035,0.004528
epoch_2,3.9,3.9,0.0325,0.01611
epoch_3,3.887,3.89,0.065,0.02917
epoch_4,3.88,3.885,0.07,0.02863
epoch_5,3.875,3.88,0.07,0.02751
epoch_6,3.867,3.879,0.08,0.0299
epoch_7,3.861,3.875,0.08,0.03348
epoch_8,3.857,3.875,0.0825,0.03052
epoch_9,3.855,3.873,0.095,0.04123
epoch_10,3.848,3.861,0.095,0.0396
epoch_11,3.842,3.861,0.11,0.05133
epoch_12,3.834,3.86,0.115,0.0525
epoch_13,3.824,3.855,0.1175,0.0544
epoch_14,3.822,3.855,0.1125,0.05167
epoch_15,3.816,3.857,0.1175,0.05646
epoch_16,3.82,3.852,0.115,0.0537
epoch_17,3.82,3.85,0.1125,0.0525
epoch_18,3.82,3.852,0.1125,0.0517
