epochs,mean_train_loss,mean_valid_loss,micro_f1,macro_f1
epoch_1,3.91,3.9,0.05,0.01131
epoch_2,3.9,3.895,0.0575,0.01227
epoch_3,3.893,3.885,0.0425,0.00619
epoch_4,3.889,3.875,0.08,0.02127
epoch_5,3.88,3.871,0.075,0.02098
epoch_6,3.87,3.863,0.08,0.0208
epoch_7,3.865,3.861,0.0825,0.02235
epoch_8,3.863,3.86,0.09,0.02618
epoch_9,3.855,3.854,0.1,0.03137
epoch_10,3.852,3.857,0.09,0.03122
epoch_11,3.848,3.855,0.095,0.03497
epoch_12,3.85,3.852,0.1,0.03586
epoch_13,3.846,3.85,0.1125,0.04788
epoch_14,3.832,3.846,0.1225,0.05347
epoch_15,3.834,3.848,0.1225,0.0591
epoch_16,3.828,3.842,0.1324,0.0656
epoch_17,3.824,3.842,0.13,0.06335
epoch_18,3.824,3.84,0.135,0.0655
epoch_19,3.824,3.844,0.1324,0.06274
