epochs,mean_train_loss,mean_valid_loss,micro_f1,macro_f1
epoch_1,3.906,3.908,0.0375,0.009796
epoch_2,3.902,3.902,0.0625,0.01548
epoch_3,3.893,3.895,0.045,0.01438
epoch_4,3.885,3.89,0.0475,0.00926
epoch_5,3.88,3.887,0.055,0.02165
epoch_6,3.871,3.875,0.075,0.0365
epoch_7,3.863,3.867,0.1,0.05405
epoch_8,3.85,3.86,0.1025,0.05792
epoch_9,3.844,3.848,0.1274,0.0679
epoch_10,3.834,3.855,0.1075,0.0612
epoch_11,3.83,3.846,0.11,0.0615
epoch_12,3.822,3.844,0.1324,0.07135
epoch_13,3.818,3.844,0.12,0.0696
epoch_14,3.818,3.844,0.1274,0.0696
epoch_15,3.81,3.844,0.125,0.07166
epoch_16,3.814,3.844,0.1225,0.07153
