,air_conditioner,car_horn,children_playing,dog_bark,drilling,engine_idling,gun_shot,jackhammer,siren,street_music
epoch_1,"{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 100}","{'precision': 0.75, 'recall': 0.09090909090909091, 'f1': 0.16216216216216214, 'count': 33}","{'precision': 0.07692307692307693, 'recall': 0.01, 'f1': 0.01769911504424779, 'count': 100}","{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 100}","{'precision': 0.6825396825396826, 'recall': 0.43, 'f1': 0.5276073619631901, 'count': 100}","{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 93}","{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'count': 32}","{'precision': 0.019417475728155338, 'recall': 0.020833333333333332, 'f1': 0.02010050251256281, 'count': 96}","{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 83}","{'precision': 0.1546218487394958, 'recall': 0.92, 'f1': 0.264748201438849, 'count': 100}"
epoch_2,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'count': 100}","{'precision': 0.5, 'recall': 0.12121212121212122, 'f1': 0.1951219512195122, 'count': 33}","{'precision': 0.16666666666666666, 'recall': 0.01, 'f1': 0.018867924528301886, 'count': 100}","{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'count': 100}","{'precision': 0.7843137254901961, 'recall': 0.4, 'f1': 0.5298013245033113, 'count': 100}","{'precision': 0.3127147766323024, 'recall': 0.978494623655914, 'f1': 0.47395833333333337, 'count': 93}","{'precision': 0.013888888888888888, 'recall': 0.03125, 'f1': 0.01923076923076923, 'count': 32}","{'precision': 0.8333333333333334, 'recall': 0.052083333333333336, 'f1': 0.09803921568627451, 'count': 96}","{'precision': 0.7083333333333334, 'recall': 0.40963855421686746, 'f1': 0.5190839694656489, 'count': 83}","{'precision': 0.19767441860465115, 'recall': 0.68, 'f1': 0.3063063063063063, 'count': 100}"
epoch_3,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'count': 100}","{'precision': 0.14285714285714285, 'recall': 0.06060606060606061, 'f1': 0.0851063829787234, 'count': 33}","{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'count': 100}","{'precision': 0.3333333333333333, 'recall': 0.02, 'f1': 0.03773584905660377, 'count': 100}","{'precision': 0.5625, 'recall': 0.45, 'f1': 0.5, 'count': 100}","{'precision': 0.33455882352941174, 'recall': 0.978494623655914, 'f1': 0.4986301369863013, 'count': 93}","{'precision': 0.023255813953488372, 'recall': 0.03125, 'f1': 0.026666666666666665, 'count': 32}","{'precision': 0.6470588235294118, 'recall': 0.11458333333333333, 'f1': 0.19469026548672563, 'count': 96}","{'precision': 0.6545454545454545, 'recall': 0.43373493975903615, 'f1': 0.5217391304347826, 'count': 83}","{'precision': 0.24012158054711247, 'recall': 0.79, 'f1': 0.3682983682983684, 'count': 100}"
epoch_4,"{'precision': 0.19047619047619047, 'recall': 0.04, 'f1': 0.06611570247933884, 'count': 100}","{'precision': 0.11538461538461539, 'recall': 0.09090909090909091, 'f1': 0.1016949152542373, 'count': 33}","{'precision': 0.18181818181818182, 'recall': 0.02, 'f1': 0.036036036036036036, 'count': 100}","{'precision': 0.5294117647058824, 'recall': 0.09, 'f1': 0.15384615384615385, 'count': 100}","{'precision': 0.5227272727272727, 'recall': 0.46, 'f1': 0.4893617021276596, 'count': 100}","{'precision': 0.33579335793357934, 'recall': 0.978494623655914, 'f1': 0.5, 'count': 93}","{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'count': 32}","{'precision': 0.8888888888888888, 'recall': 0.08333333333333333, 'f1': 0.15238095238095237, 'count': 96}","{'precision': 0.59375, 'recall': 0.4578313253012048, 'f1': 0.5170068027210885, 'count': 83}","{'precision': 0.25252525252525254, 'recall': 0.75, 'f1': 0.37783375314861456, 'count': 100}"
epoch_5,"{'precision': 0.3684210526315789, 'recall': 0.28, 'f1': 0.3181818181818182, 'count': 100}","{'precision': 0.11428571428571428, 'recall': 0.12121212121212122, 'f1': 0.11764705882352942, 'count': 33}","{'precision': 0.25, 'recall': 0.02, 'f1': 0.037037037037037035, 'count': 100}","{'precision': 0.7727272727272727, 'recall': 0.17, 'f1': 0.27868852459016397, 'count': 100}","{'precision': 0.3821138211382114, 'recall': 0.47, 'f1': 0.4215246636771301, 'count': 100}","{'precision': 0.3717277486910995, 'recall': 0.7634408602150538, 'f1': 0.5, 'count': 93}","{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'count': 32}","{'precision': 0.8181818181818182, 'recall': 0.09375, 'f1': 0.16822429906542055, 'count': 96}","{'precision': 0.6491228070175439, 'recall': 0.4457831325301205, 'f1': 0.5285714285714286, 'count': 83}","{'precision': 0.26517571884984026, 'recall': 0.83, 'f1': 0.4019370460048426, 'count': 100}"
epoch_6,"{'precision': 0.4230769230769231, 'recall': 0.66, 'f1': 0.515625, 'count': 100}","{'precision': 0.08108108108108109, 'recall': 0.18181818181818182, 'f1': 0.11214953271028037, 'count': 33}","{'precision': 0.45454545454545453, 'recall': 0.05, 'f1': 0.0900900900900901, 'count': 100}","{'precision': 0.95, 'recall': 0.19, 'f1': 0.3166666666666667, 'count': 100}","{'precision': 0.3939393939393939, 'recall': 0.52, 'f1': 0.44827586206896547, 'count': 100}","{'precision': 0.4146341463414634, 'recall': 0.5483870967741935, 'f1': 0.4722222222222222, 'count': 93}","{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 32}","{'precision': 0.4583333333333333, 'recall': 0.11458333333333333, 'f1': 0.18333333333333332, 'count': 96}","{'precision': 0.6212121212121212, 'recall': 0.4939759036144578, 'f1': 0.5503355704697986, 'count': 83}","{'precision': 0.3116883116883117, 'recall': 0.72, 'f1': 0.43504531722054385, 'count': 100}"
epoch_7,"{'precision': 0.4277456647398844, 'recall': 0.74, 'f1': 0.5421245421245421, 'count': 100}","{'precision': 0.08333333333333333, 'recall': 0.18181818181818182, 'f1': 0.1142857142857143, 'count': 33}","{'precision': 0.5833333333333334, 'recall': 0.07, 'f1': 0.12500000000000003, 'count': 100}","{'precision': 0.9032258064516129, 'recall': 0.28, 'f1': 0.42748091603053445, 'count': 100}","{'precision': 0.40559440559440557, 'recall': 0.58, 'f1': 0.4773662551440329, 'count': 100}","{'precision': 0.44565217391304346, 'recall': 0.44086021505376344, 'f1': 0.4432432432432432, 'count': 93}","{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 32}","{'precision': 0.5789473684210527, 'recall': 0.11458333333333333, 'f1': 0.19130434782608693, 'count': 96}","{'precision': 0.7555555555555555, 'recall': 0.40963855421686746, 'f1': 0.53125, 'count': 83}","{'precision': 0.304, 'recall': 0.76, 'f1': 0.4342857142857143, 'count': 100}"
epoch_8,"{'precision': 0.3706896551724138, 'recall': 0.86, 'f1': 0.5180722891566265, 'count': 100}","{'precision': 0.1346153846153846, 'recall': 0.21212121212121213, 'f1': 0.16470588235294117, 'count': 33}","{'precision': 0.4406779661016949, 'recall': 0.26, 'f1': 0.32704402515723274, 'count': 100}","{'precision': 0.8823529411764706, 'recall': 0.45, 'f1': 0.5960264900662252, 'count': 100}","{'precision': 0.3488372093023256, 'recall': 0.6, 'f1': 0.4411764705882353, 'count': 100}","{'precision': 0.4791666666666667, 'recall': 0.4946236559139785, 'f1': 0.48677248677248675, 'count': 93}","{'precision': 1.0, 'recall': 0.03125, 'f1': 0.06060606060606061, 'count': 32}","{'precision': 0.875, 'recall': 0.07291666666666667, 'f1': 0.13461538461538464, 'count': 96}","{'precision': 0.6323529411764706, 'recall': 0.5180722891566265, 'f1': 0.5695364238410596, 'count': 83}","{'precision': 0.6020408163265306, 'recall': 0.59, 'f1': 0.5959595959595959, 'count': 100}"
epoch_9,"{'precision': 0.3598326359832636, 'recall': 0.86, 'f1': 0.5073746312684365, 'count': 100}","{'precision': 0.14814814814814814, 'recall': 0.24242424242424243, 'f1': 0.18390804597701146, 'count': 33}","{'precision': 0.4375, 'recall': 0.28, 'f1': 0.34146341463414637, 'count': 100}","{'precision': 0.9347826086956522, 'recall': 0.43, 'f1': 0.5890410958904109, 'count': 100}","{'precision': 0.33707865168539325, 'recall': 0.6, 'f1': 0.4316546762589928, 'count': 100}","{'precision': 0.48863636363636365, 'recall': 0.46236559139784944, 'f1': 0.47513812154696133, 'count': 93}","{'precision': 1.0, 'recall': 0.03125, 'f1': 0.06060606060606061, 'count': 32}","{'precision': 0.875, 'recall': 0.07291666666666667, 'f1': 0.13461538461538464, 'count': 96}","{'precision': 0.6323529411764706, 'recall': 0.5180722891566265, 'f1': 0.5695364238410596, 'count': 83}","{'precision': 0.6153846153846154, 'recall': 0.56, 'f1': 0.5863874345549739, 'count': 100}"
