,mean_train_loss,mean_valid_loss,micro_f1,macro_f1
epoch_1,1.677,2.357,0.1685,0.01985
epoch_2,1.394,2.18,0.2915,0.0432
epoch_3,1.172,2.115,0.319,0.04465
epoch_4,1.008,2.254,0.3298,0.04788
epoch_5,0.872,2.217,0.356,0.05545
epoch_6,0.771,2.205,0.386,0.06247
epoch_7,0.678,2.389,0.4001,0.06573
epoch_8,0.8467,2.395,0.454,0.0779
epoch_9,0.738,2.498,0.448,0.0776
