,mean_train_loss,mean_valid_loss,micro_f1,macro_f1
epoch_1,1.696,2.396,0.166,0.01933
epoch_2,1.39,2.035,0.313,0.04465
epoch_3,1.158,2.06,0.3213,0.0472
epoch_4,1.0,2.023,0.3394,0.0508
epoch_5,0.8584,2.242,0.356,0.05463
epoch_6,0.9907,2.102,0.4373,0.08154
epoch_7,0.894,2.113,0.4385,0.0821
epoch_8,0.855,2.11,0.4373,0.082
epoch_9,0.824,2.107,0.4492,0.0841
epoch_10,0.796,2.107,0.4468,0.08405
