,mean_train_loss,mean_valid_loss,micro_f1,macro_f1
epoch_1,3.963,3.736,0.085,0.03513
epoch_2,3.676,3.45,0.1324,0.0806
epoch_3,3.408,3.191,0.2075,0.1515
epoch_4,3.186,2.926,0.2625,0.1862
epoch_5,2.912,2.686,0.345,0.2935
epoch_6,2.717,2.54,0.3374,0.2815
epoch_7,2.506,2.35,0.3926,0.3394
epoch_8,2.32,2.19,0.43,0.397
epoch_9,2.191,2.102,0.4775,0.4333
epoch_10,2.11,2.016,0.4824,0.4324
epoch_11,1.971,1.983,0.5273,0.4873
epoch_12,1.785,1.814,0.52,0.501
epoch_13,1.71,1.85,0.5127,0.477
epoch_14,1.567,1.774,0.56,0.5327
epoch_15,1.524,1.725,0.57,0.549
epoch_16,1.424,1.632,0.5576,0.534
epoch_17,1.353,1.645,0.55,0.539
epoch_18,1.231,1.554,0.5977,0.585
epoch_19,1.149,1.529,0.6025,0.59
epoch_20,1.145,1.529,0.605,0.591
epoch_21,1.132,1.509,0.595,0.578
epoch_22,1.113,1.534,0.5977,0.578
epoch_23,1.074,1.492,0.6074,0.5933
epoch_24,1.086,1.48,0.595,0.58
epoch_25,1.074,1.498,0.6,0.5815
