,mean_train_loss,mean_valid_loss,micro_f1,macro_f1
epoch_1,3.816,3.62,0.0925,0.05478
epoch_2,3.545,3.396,0.1425,0.10895
epoch_3,3.299,3.158,0.2125,0.1603
epoch_4,3.043,2.941,0.2776,0.2216
epoch_5,2.812,2.748,0.3425,0.3047
epoch_6,2.527,2.568,0.36,0.3271
epoch_7,2.28,2.344,0.425,0.395
epoch_8,2.01,2.348,0.425,0.3943
epoch_9,1.74,2.158,0.465,0.4402
epoch_10,1.484,2.066,0.485,0.456
epoch_11,1.235,2.027,0.475,0.455
epoch_12,1.038,1.944,0.51,0.488
epoch_13,0.806,1.912,0.52,0.4902
epoch_14,0.64,1.9,0.5273,0.5054
epoch_15,0.4521,1.833,0.52,0.4841
epoch_16,0.366,1.81,0.5,0.48
epoch_17,0.2747,1.796,0.515,0.492
epoch_18,0.2092,1.751,0.5273,0.504
epoch_19,0.1565,1.796,0.535,0.5107
epoch_20,0.12305,1.733,0.545,0.518
epoch_21,0.1178,1.729,0.545,0.519
epoch_22,0.10486,1.725,0.5425,0.518
epoch_23,0.10425,1.728,0.5327,0.506
epoch_24,0.10376,1.718,0.535,0.5073
epoch_25,0.0975,1.722,0.535,0.512
