epochs,air_conditioner,car_horn,children_playing,dog_bark,drilling,engine_idling,gun_shot,jackhammer,siren,street_music
epoch_1,"{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 100}","{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'count': 33}","{'precision': 0.05263157894736842, 'recall': 0.01, 'f1': 0.016806722689075633, 'count': 100}","{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 100}","{'precision': 0.5263157894736842, 'recall': 0.2, 'f1': 0.28985507246376807, 'count': 100}","{'precision': 0.3333333333333333, 'recall': 0.5591397849462365, 'f1': 0.4176706827309237, 'count': 93}","{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 32}","{'precision': 0.36666666666666664, 'recall': 0.11458333333333333, 'f1': 0.1746031746031746, 'count': 96}","{'precision': 0.25, 'recall': 0.060240963855421686, 'f1': 0.09708737864077671, 'count': 83}","{'precision': 0.15586690017513136, 'recall': 0.89, 'f1': 0.26527570789865873, 'count': 100}"
epoch_2,"{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 100}","{'precision': 0.2222222222222222, 'recall': 0.06060606060606061, 'f1': 0.09523809523809523, 'count': 33}","{'precision': 0.28, 'recall': 0.07, 'f1': 0.112, 'count': 100}","{'precision': 0.2, 'recall': 0.11, 'f1': 0.14193548387096774, 'count': 100}","{'precision': 0.46153846153846156, 'recall': 0.18, 'f1': 0.2589928057553956, 'count': 100}","{'precision': 0.2930232558139535, 'recall': 0.6774193548387096, 'f1': 0.4090909090909091, 'count': 93}","{'precision': 0.5, 'recall': 0.03125, 'f1': 0.058823529411764705, 'count': 32}","{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'count': 96}","{'precision': 0.4868421052631579, 'recall': 0.4457831325301205, 'f1': 0.4654088050314465, 'count': 83}","{'precision': 0.1956521739130435, 'recall': 0.81, 'f1': 0.31517509727626464, 'count': 100}"
epoch_3,"{'precision': 0.5, 'recall': 0.08, 'f1': 0.13793103448275865, 'count': 100}","{'precision': 0.058823529411764705, 'recall': 0.06060606060606061, 'f1': 0.05970149253731344, 'count': 33}","{'precision': 0.30434782608695654, 'recall': 0.07, 'f1': 0.11382113821138212, 'count': 100}","{'precision': 0.43333333333333335, 'recall': 0.13, 'f1': 0.2, 'count': 100}","{'precision': 0.423728813559322, 'recall': 0.25, 'f1': 0.31446540880503143, 'count': 100}","{'precision': 0.3473684210526316, 'recall': 0.7096774193548387, 'f1': 0.4664310954063605, 'count': 93}","{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'count': 32}","{'precision': 0.42105263157894735, 'recall': 0.08333333333333333, 'f1': 0.1391304347826087, 'count': 96}","{'precision': 0.524390243902439, 'recall': 0.5180722891566265, 'f1': 0.5212121212121212, 'count': 83}","{'precision': 0.21727748691099477, 'recall': 0.83, 'f1': 0.34439834024896265, 'count': 100}"
epoch_4,"{'precision': 0.67, 'recall': 0.67, 'f1': 0.67, 'count': 100}","{'precision': 0.07894736842105263, 'recall': 0.09090909090909091, 'f1': 0.08450704225352113, 'count': 33}","{'precision': 0.3870967741935484, 'recall': 0.12, 'f1': 0.183206106870229, 'count': 100}","{'precision': 0.625, 'recall': 0.3, 'f1': 0.4054054054054054, 'count': 100}","{'precision': 0.36585365853658536, 'recall': 0.3, 'f1': 0.3296703296703297, 'count': 100}","{'precision': 0.6129032258064516, 'recall': 0.6129032258064516, 'f1': 0.6129032258064516, 'count': 93}","{'precision': 0.45454545454545453, 'recall': 0.15625, 'f1': 0.2325581395348837, 'count': 32}","{'precision': 0.5294117647058824, 'recall': 0.09375, 'f1': 0.1592920353982301, 'count': 96}","{'precision': 0.524390243902439, 'recall': 0.5180722891566265, 'f1': 0.5212121212121212, 'count': 83}","{'precision': 0.2656716417910448, 'recall': 0.89, 'f1': 0.4091954022988506, 'count': 100}"
epoch_5,"{'precision': 0.5912408759124088, 'recall': 0.81, 'f1': 0.6835443037974684, 'count': 100}","{'precision': 0.07142857142857142, 'recall': 0.12121212121212122, 'f1': 0.0898876404494382, 'count': 33}","{'precision': 0.4375, 'recall': 0.14, 'f1': 0.21212121212121213, 'count': 100}","{'precision': 0.9090909090909091, 'recall': 0.3, 'f1': 0.4511278195488722, 'count': 100}","{'precision': 0.38016528925619836, 'recall': 0.46, 'f1': 0.416289592760181, 'count': 100}","{'precision': 0.6629213483146067, 'recall': 0.6344086021505376, 'f1': 0.6483516483516483, 'count': 93}","{'precision': 0.7142857142857143, 'recall': 0.3125, 'f1': 0.43478260869565216, 'count': 32}","{'precision': 0.7619047619047619, 'recall': 0.16666666666666666, 'f1': 0.27350427350427353, 'count': 96}","{'precision': 0.5609756097560976, 'recall': 0.5542168674698795, 'f1': 0.5575757575757576, 'count': 83}","{'precision': 0.3492063492063492, 'recall': 0.88, 'f1': 0.5, 'count': 100}"
epoch_6,"{'precision': 0.6057692307692307, 'recall': 0.63, 'f1': 0.6176470588235293, 'count': 100}","{'precision': 0.047619047619047616, 'recall': 0.09090909090909091, 'f1': 0.0625, 'count': 33}","{'precision': 0.4482758620689655, 'recall': 0.13, 'f1': 0.20155038759689922, 'count': 100}","{'precision': 0.9, 'recall': 0.27, 'f1': 0.41538461538461546, 'count': 100}","{'precision': 0.3769230769230769, 'recall': 0.49, 'f1': 0.4260869565217391, 'count': 100}","{'precision': 0.5511811023622047, 'recall': 0.7526881720430108, 'f1': 0.6363636363636364, 'count': 93}","{'precision': 0.6666666666666666, 'recall': 0.0625, 'f1': 0.11428571428571428, 'count': 32}","{'precision': 0.6785714285714286, 'recall': 0.19791666666666666, 'f1': 0.3064516129032258, 'count': 96}","{'precision': 0.5866666666666667, 'recall': 0.5301204819277109, 'f1': 0.5569620253164557, 'count': 83}","{'precision': 0.3588709677419355, 'recall': 0.89, 'f1': 0.5114942528735632, 'count': 100}"
epoch_7,"{'precision': 0.33676975945017185, 'recall': 0.98, 'f1': 0.5012787723785166, 'count': 100}","{'precision': 0.1956521739130435, 'recall': 0.2727272727272727, 'f1': 0.2278481012658228, 'count': 33}","{'precision': 0.5609756097560976, 'recall': 0.23, 'f1': 0.32624113475177313, 'count': 100}","{'precision': 0.9111111111111111, 'recall': 0.41, 'f1': 0.5655172413793103, 'count': 100}","{'precision': 0.35428571428571426, 'recall': 0.62, 'f1': 0.45090909090909087, 'count': 100}","{'precision': 0.6176470588235294, 'recall': 0.22580645161290322, 'f1': 0.3307086614173228, 'count': 93}","{'precision': 0.8571428571428571, 'recall': 0.5625, 'f1': 0.6792452830188678, 'count': 32}","{'precision': 0.9375, 'recall': 0.15625, 'f1': 0.26785714285714285, 'count': 96}","{'precision': 0.5492957746478874, 'recall': 0.46987951807228917, 'f1': 0.5064935064935066, 'count': 83}","{'precision': 0.5876288659793815, 'recall': 0.57, 'f1': 0.5786802030456853, 'count': 100}"
epoch_8,"{'precision': 0.35, 'recall': 0.98, 'f1': 0.5157894736842105, 'count': 100}","{'precision': 0.2571428571428571, 'recall': 0.2727272727272727, 'f1': 0.2647058823529411, 'count': 33}","{'precision': 0.5476190476190477, 'recall': 0.23, 'f1': 0.32394366197183105, 'count': 100}","{'precision': 0.9487179487179487, 'recall': 0.37, 'f1': 0.5323741007194245, 'count': 100}","{'precision': 0.35233160621761656, 'recall': 0.68, 'f1': 0.46416382252559724, 'count': 100}","{'precision': 0.7297297297297297, 'recall': 0.2903225806451613, 'f1': 0.41538461538461535, 'count': 93}","{'precision': 0.85, 'recall': 0.53125, 'f1': 0.6538461538461537, 'count': 32}","{'precision': 0.9523809523809523, 'recall': 0.20833333333333334, 'f1': 0.3418803418803419, 'count': 96}","{'precision': 0.5714285714285714, 'recall': 0.4819277108433735, 'f1': 0.522875816993464, 'count': 83}","{'precision': 0.6, 'recall': 0.6, 'f1': 0.6, 'count': 100}"
epoch_9,"{'precision': 0.35766423357664234, 'recall': 0.98, 'f1': 0.5240641711229946, 'count': 100}","{'precision': 0.30303030303030304, 'recall': 0.30303030303030304, 'f1': 0.30303030303030304, 'count': 33}","{'precision': 0.631578947368421, 'recall': 0.24, 'f1': 0.34782608695652173, 'count': 100}","{'precision': 0.95, 'recall': 0.38, 'f1': 0.5428571428571428, 'count': 100}","{'precision': 0.3626943005181347, 'recall': 0.7, 'f1': 0.47781569965870313, 'count': 100}","{'precision': 0.7441860465116279, 'recall': 0.34408602150537637, 'f1': 0.47058823529411764, 'count': 93}","{'precision': 0.8571428571428571, 'recall': 0.5625, 'f1': 0.6792452830188678, 'count': 32}","{'precision': 0.9615384615384616, 'recall': 0.2604166666666667, 'f1': 0.4098360655737705, 'count': 96}","{'precision': 0.5735294117647058, 'recall': 0.46987951807228917, 'f1': 0.5165562913907285, 'count': 83}","{'precision': 0.6237623762376238, 'recall': 0.63, 'f1': 0.6268656716417911, 'count': 100}"
epoch_10,"{'precision': 0.3656716417910448, 'recall': 0.98, 'f1': 0.5326086956521738, 'count': 100}","{'precision': 0.2916666666666667, 'recall': 0.21212121212121213, 'f1': 0.2456140350877193, 'count': 33}","{'precision': 0.65, 'recall': 0.26, 'f1': 0.37142857142857144, 'count': 100}","{'precision': 0.9487179487179487, 'recall': 0.37, 'f1': 0.5323741007194245, 'count': 100}","{'precision': 0.36787564766839376, 'recall': 0.71, 'f1': 0.4846416382252559, 'count': 100}","{'precision': 0.7254901960784313, 'recall': 0.3978494623655914, 'f1': 0.5138888888888888, 'count': 93}","{'precision': 0.8571428571428571, 'recall': 0.5625, 'f1': 0.6792452830188678, 'count': 32}","{'precision': 0.9666666666666667, 'recall': 0.3020833333333333, 'f1': 0.46031746031746024, 'count': 96}","{'precision': 0.578125, 'recall': 0.4457831325301205, 'f1': 0.5034013605442177, 'count': 83}","{'precision': 0.5981308411214953, 'recall': 0.64, 'f1': 0.6183574879227053, 'count': 100}"
epoch_11,"{'precision': 0.3684210526315789, 'recall': 0.98, 'f1': 0.53551912568306, 'count': 100}","{'precision': 0.3333333333333333, 'recall': 0.24242424242424243, 'f1': 0.2807017543859649, 'count': 33}","{'precision': 0.675, 'recall': 0.27, 'f1': 0.38571428571428573, 'count': 100}","{'precision': 0.9111111111111111, 'recall': 0.41, 'f1': 0.5655172413793103, 'count': 100}","{'precision': 0.375, 'recall': 0.69, 'f1': 0.48591549295774644, 'count': 100}","{'precision': 0.7115384615384616, 'recall': 0.3978494623655914, 'f1': 0.5103448275862068, 'count': 93}","{'precision': 0.8571428571428571, 'recall': 0.5625, 'f1': 0.6792452830188678, 'count': 32}","{'precision': 0.9375, 'recall': 0.3125, 'f1': 0.46875, 'count': 96}","{'precision': 0.578125, 'recall': 0.4457831325301205, 'f1': 0.5034013605442177, 'count': 83}","{'precision': 0.6055045871559633, 'recall': 0.66, 'f1': 0.6315789473684211, 'count': 100}"
epoch_12,"{'precision': 0.3684210526315789, 'recall': 0.98, 'f1': 0.53551912568306, 'count': 100}","{'precision': 0.35714285714285715, 'recall': 0.30303030303030304, 'f1': 0.32786885245901637, 'count': 33}","{'precision': 0.6829268292682927, 'recall': 0.28, 'f1': 0.3971631205673759, 'count': 100}","{'precision': 0.926829268292683, 'recall': 0.38, 'f1': 0.5390070921985816, 'count': 100}","{'precision': 0.37967914438502676, 'recall': 0.71, 'f1': 0.4947735191637631, 'count': 100}","{'precision': 0.7446808510638298, 'recall': 0.3763440860215054, 'f1': 0.5, 'count': 93}","{'precision': 0.8571428571428571, 'recall': 0.5625, 'f1': 0.6792452830188678, 'count': 32}","{'precision': 0.8857142857142857, 'recall': 0.3229166666666667, 'f1': 0.47328244274809156, 'count': 96}","{'precision': 0.5757575757575758, 'recall': 0.4578313253012048, 'f1': 0.5100671140939598, 'count': 83}","{'precision': 0.6285714285714286, 'recall': 0.66, 'f1': 0.6439024390243901, 'count': 100}"
epoch_13,"{'precision': 0.37547892720306514, 'recall': 0.98, 'f1': 0.5429362880886426, 'count': 100}","{'precision': 0.37037037037037035, 'recall': 0.30303030303030304, 'f1': 0.3333333333333333, 'count': 33}","{'precision': 0.6666666666666666, 'recall': 0.28, 'f1': 0.3943661971830986, 'count': 100}","{'precision': 0.9333333333333333, 'recall': 0.42, 'f1': 0.5793103448275863, 'count': 100}","{'precision': 0.3901098901098901, 'recall': 0.71, 'f1': 0.5035460992907802, 'count': 100}","{'precision': 0.7551020408163265, 'recall': 0.3978494623655914, 'f1': 0.5211267605633803, 'count': 93}","{'precision': 0.8571428571428571, 'recall': 0.5625, 'f1': 0.6792452830188678, 'count': 32}","{'precision': 0.9428571428571428, 'recall': 0.34375, 'f1': 0.5038167938931298, 'count': 96}","{'precision': 0.582089552238806, 'recall': 0.46987951807228917, 'f1': 0.52, 'count': 83}","{'precision': 0.6111111111111112, 'recall': 0.66, 'f1': 0.6346153846153846, 'count': 100}"
epoch_14,"{'precision': 0.3643122676579926, 'recall': 0.98, 'f1': 0.5311653116531165, 'count': 100}","{'precision': 0.391304347826087, 'recall': 0.2727272727272727, 'f1': 0.32142857142857145, 'count': 33}","{'precision': 0.675, 'recall': 0.27, 'f1': 0.38571428571428573, 'count': 100}","{'precision': 0.9347826086956522, 'recall': 0.43, 'f1': 0.5890410958904109, 'count': 100}","{'precision': 0.4011627906976744, 'recall': 0.69, 'f1': 0.5073529411764706, 'count': 100}","{'precision': 0.7115384615384616, 'recall': 0.3978494623655914, 'f1': 0.5103448275862068, 'count': 93}","{'precision': 0.8571428571428571, 'recall': 0.5625, 'f1': 0.6792452830188678, 'count': 32}","{'precision': 0.9444444444444444, 'recall': 0.3541666666666667, 'f1': 0.5151515151515151, 'count': 96}","{'precision': 0.5757575757575758, 'recall': 0.4578313253012048, 'f1': 0.5100671140939598, 'count': 83}","{'precision': 0.6160714285714286, 'recall': 0.69, 'f1': 0.6509433962264152, 'count': 100}"
epoch_15,"{'precision': 0.36981132075471695, 'recall': 0.98, 'f1': 0.536986301369863, 'count': 100}","{'precision': 0.391304347826087, 'recall': 0.2727272727272727, 'f1': 0.32142857142857145, 'count': 33}","{'precision': 0.7027027027027027, 'recall': 0.26, 'f1': 0.3795620437956205, 'count': 100}","{'precision': 0.9148936170212766, 'recall': 0.43, 'f1': 0.5850340136054422, 'count': 100}","{'precision': 0.41040462427745666, 'recall': 0.71, 'f1': 0.5201465201465202, 'count': 100}","{'precision': 0.6981132075471698, 'recall': 0.3978494623655914, 'f1': 0.5068493150684931, 'count': 93}","{'precision': 0.8571428571428571, 'recall': 0.5625, 'f1': 0.6792452830188678, 'count': 32}","{'precision': 0.9428571428571428, 'recall': 0.34375, 'f1': 0.5038167938931298, 'count': 96}","{'precision': 0.5967741935483871, 'recall': 0.4457831325301205, 'f1': 0.5103448275862069, 'count': 83}","{'precision': 0.5867768595041323, 'recall': 0.71, 'f1': 0.6425339366515836, 'count': 100}"
epoch_16,"{'precision': 0.36981132075471695, 'recall': 0.98, 'f1': 0.536986301369863, 'count': 100}","{'precision': 0.39285714285714285, 'recall': 0.3333333333333333, 'f1': 0.360655737704918, 'count': 33}","{'precision': 0.6666666666666666, 'recall': 0.28, 'f1': 0.3943661971830986, 'count': 100}","{'precision': 0.8979591836734694, 'recall': 0.44, 'f1': 0.5906040268456376, 'count': 100}","{'precision': 0.422360248447205, 'recall': 0.68, 'f1': 0.521072796934866, 'count': 100}","{'precision': 0.6981132075471698, 'recall': 0.3978494623655914, 'f1': 0.5068493150684931, 'count': 93}","{'precision': 0.8571428571428571, 'recall': 0.5625, 'f1': 0.6792452830188678, 'count': 32}","{'precision': 0.918918918918919, 'recall': 0.3541666666666667, 'f1': 0.5112781954887219, 'count': 96}","{'precision': 0.6031746031746031, 'recall': 0.4578313253012048, 'f1': 0.5205479452054793, 'count': 83}","{'precision': 0.5932203389830508, 'recall': 0.7, 'f1': 0.6422018348623852, 'count': 100}"
epoch_17,"{'precision': 0.3783783783783784, 'recall': 0.98, 'f1': 0.5459610027855153, 'count': 100}","{'precision': 0.4074074074074074, 'recall': 0.3333333333333333, 'f1': 0.36666666666666664, 'count': 33}","{'precision': 0.7105263157894737, 'recall': 0.27, 'f1': 0.391304347826087, 'count': 100}","{'precision': 0.8958333333333334, 'recall': 0.43, 'f1': 0.581081081081081, 'count': 100}","{'precision': 0.42857142857142855, 'recall': 0.72, 'f1': 0.5373134328358209, 'count': 100}","{'precision': 0.6607142857142857, 'recall': 0.3978494623655914, 'f1': 0.4966442953020134, 'count': 93}","{'precision': 0.8571428571428571, 'recall': 0.5625, 'f1': 0.6792452830188678, 'count': 32}","{'precision': 0.9473684210526315, 'recall': 0.375, 'f1': 0.537313432835821, 'count': 96}","{'precision': 0.6031746031746031, 'recall': 0.4578313253012048, 'f1': 0.5205479452054793, 'count': 83}","{'precision': 0.5966386554621849, 'recall': 0.71, 'f1': 0.6484018264840181, 'count': 100}"
epoch_18,"{'precision': 0.37547892720306514, 'recall': 0.98, 'f1': 0.5429362880886426, 'count': 100}","{'precision': 0.4166666666666667, 'recall': 0.30303030303030304, 'f1': 0.3508771929824562, 'count': 33}","{'precision': 0.6923076923076923, 'recall': 0.27, 'f1': 0.38848920863309355, 'count': 100}","{'precision': 0.9, 'recall': 0.45, 'f1': 0.6, 'count': 100}","{'precision': 0.43037974683544306, 'recall': 0.68, 'f1': 0.5271317829457365, 'count': 100}","{'precision': 0.6727272727272727, 'recall': 0.3978494623655914, 'f1': 0.5, 'count': 93}","{'precision': 0.8571428571428571, 'recall': 0.5625, 'f1': 0.6792452830188678, 'count': 32}","{'precision': 0.9473684210526315, 'recall': 0.375, 'f1': 0.537313432835821, 'count': 96}","{'precision': 0.59375, 'recall': 0.4578313253012048, 'f1': 0.5170068027210885, 'count': 83}","{'precision': 0.5826771653543307, 'recall': 0.74, 'f1': 0.6519823788546255, 'count': 100}"
epoch_19,"{'precision': 0.3783783783783784, 'recall': 0.98, 'f1': 0.5459610027855153, 'count': 100}","{'precision': 0.41379310344827586, 'recall': 0.36363636363636365, 'f1': 0.3870967741935484, 'count': 33}","{'precision': 0.7, 'recall': 0.28, 'f1': 0.4, 'count': 100}","{'precision': 0.8958333333333334, 'recall': 0.43, 'f1': 0.581081081081081, 'count': 100}","{'precision': 0.4358974358974359, 'recall': 0.68, 'f1': 0.53125, 'count': 100}","{'precision': 0.6551724137931034, 'recall': 0.40860215053763443, 'f1': 0.5033112582781456, 'count': 93}","{'precision': 0.8571428571428571, 'recall': 0.5625, 'f1': 0.6792452830188678, 'count': 32}","{'precision': 0.9230769230769231, 'recall': 0.375, 'f1': 0.5333333333333333, 'count': 96}","{'precision': 0.5846153846153846, 'recall': 0.4578313253012048, 'f1': 0.5135135135135134, 'count': 83}","{'precision': 0.5901639344262295, 'recall': 0.72, 'f1': 0.6486486486486487, 'count': 100}"
