epochs,air_conditioner,car_horn,children_playing,dog_bark,drilling,engine_idling,gun_shot,jackhammer,siren,street_music
epoch_1,"{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 100}","{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'count': 33}","{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'count': 100}","{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 100}","{'precision': 0.6511627906976745, 'recall': 0.28, 'f1': 0.39160839160839167, 'count': 100}","{'precision': 0.3492063492063492, 'recall': 0.4731182795698925, 'f1': 0.4018264840182649, 'count': 93}","{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 32}","{'precision': 0.5032258064516129, 'recall': 0.8125, 'f1': 0.6215139442231075, 'count': 96}","{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 83}","{'precision': 0.17913385826771652, 'recall': 0.91, 'f1': 0.29934210526315785, 'count': 100}"
epoch_2,"{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 100}","{'precision': 0.25, 'recall': 0.06060606060606061, 'f1': 0.0975609756097561, 'count': 33}","{'precision': 0.24, 'recall': 0.06, 'f1': 0.096, 'count': 100}","{'precision': 0.25, 'recall': 0.01, 'f1': 0.019230769230769232, 'count': 100}","{'precision': 0.6470588235294118, 'recall': 0.22, 'f1': 0.3283582089552239, 'count': 100}","{'precision': 0.539568345323741, 'recall': 0.8064516129032258, 'f1': 0.646551724137931, 'count': 93}","{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 32}","{'precision': 0.3625, 'recall': 0.90625, 'f1': 0.5178571428571428, 'count': 96}","{'precision': 0.6470588235294118, 'recall': 0.13253012048192772, 'f1': 0.22000000000000003, 'count': 83}","{'precision': 0.22972972972972974, 'recall': 0.85, 'f1': 0.3617021276595745, 'count': 100}"
epoch_3,"{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 100}","{'precision': 0.06060606060606061, 'recall': 0.06060606060606061, 'f1': 0.06060606060606061, 'count': 33}","{'precision': 0.2, 'recall': 0.07, 'f1': 0.10370370370370371, 'count': 100}","{'precision': 0.5, 'recall': 0.1, 'f1': 0.16666666666666669, 'count': 100}","{'precision': 0.782608695652174, 'recall': 0.18, 'f1': 0.2926829268292683, 'count': 100}","{'precision': 0.3930131004366812, 'recall': 0.967741935483871, 'f1': 0.5590062111801242, 'count': 93}","{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 32}","{'precision': 0.5027932960893855, 'recall': 0.9375, 'f1': 0.6545454545454545, 'count': 96}","{'precision': 0.5961538461538461, 'recall': 0.37349397590361444, 'f1': 0.45925925925925926, 'count': 83}","{'precision': 0.2932330827067669, 'recall': 0.78, 'f1': 0.42622950819672134, 'count': 100}"
epoch_4,"{'precision': 0.10526315789473684, 'recall': 0.02, 'f1': 0.033613445378151266, 'count': 100}","{'precision': 0.06451612903225806, 'recall': 0.06060606060606061, 'f1': 0.0625, 'count': 33}","{'precision': 0.36363636363636365, 'recall': 0.16, 'f1': 0.2222222222222222, 'count': 100}","{'precision': 0.8947368421052632, 'recall': 0.17, 'f1': 0.2857142857142857, 'count': 100}","{'precision': 0.6206896551724138, 'recall': 0.18, 'f1': 0.27906976744186046, 'count': 100}","{'precision': 0.35909090909090907, 'recall': 0.8494623655913979, 'f1': 0.5047923322683706, 'count': 93}","{'precision': 1.0, 'recall': 0.0, 'f1': 0.0, 'count': 32}","{'precision': 0.4587628865979381, 'recall': 0.9270833333333334, 'f1': 0.6137931034482759, 'count': 96}","{'precision': 0.5714285714285714, 'recall': 0.3855421686746988, 'f1': 0.460431654676259, 'count': 83}","{'precision': 0.3422222222222222, 'recall': 0.77, 'f1': 0.4738461538461538, 'count': 100}"
epoch_5,"{'precision': 0.3173076923076923, 'recall': 0.66, 'f1': 0.4285714285714286, 'count': 100}","{'precision': 0.05714285714285714, 'recall': 0.06060606060606061, 'f1': 0.05882352941176471, 'count': 33}","{'precision': 0.45161290322580644, 'recall': 0.28, 'f1': 0.345679012345679, 'count': 100}","{'precision': 0.9111111111111111, 'recall': 0.41, 'f1': 0.5655172413793103, 'count': 100}","{'precision': 0.375, 'recall': 0.24, 'f1': 0.2926829268292683, 'count': 100}","{'precision': 0.5169491525423728, 'recall': 0.6559139784946236, 'f1': 0.5781990521327014, 'count': 93}","{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'count': 32}","{'precision': 0.40707964601769914, 'recall': 0.4791666666666667, 'f1': 0.44019138755980863, 'count': 96}","{'precision': 0.5147058823529411, 'recall': 0.42168674698795183, 'f1': 0.46357615894039733, 'count': 83}","{'precision': 0.4957983193277311, 'recall': 0.59, 'f1': 0.5388127853881278, 'count': 100}"
epoch_6,"{'precision': 0.30275229357798167, 'recall': 0.66, 'f1': 0.41509433962264153, 'count': 100}","{'precision': 0.05714285714285714, 'recall': 0.06060606060606061, 'f1': 0.05882352941176471, 'count': 33}","{'precision': 0.49206349206349204, 'recall': 0.31, 'f1': 0.38036809815950917, 'count': 100}","{'precision': 0.9090909090909091, 'recall': 0.4, 'f1': 0.5555555555555556, 'count': 100}","{'precision': 0.39344262295081966, 'recall': 0.24, 'f1': 0.2981366459627329, 'count': 100}","{'precision': 0.5126050420168067, 'recall': 0.6559139784946236, 'f1': 0.5754716981132076, 'count': 93}","{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'count': 32}","{'precision': 0.4107142857142857, 'recall': 0.4791666666666667, 'f1': 0.44230769230769235, 'count': 96}","{'precision': 0.4861111111111111, 'recall': 0.42168674698795183, 'f1': 0.4516129032258065, 'count': 83}","{'precision': 0.5135135135135135, 'recall': 0.57, 'f1': 0.5402843601895734, 'count': 100}"
epoch_7,"{'precision': 0.2894736842105263, 'recall': 0.66, 'f1': 0.4024390243902439, 'count': 100}","{'precision': 0.07142857142857142, 'recall': 0.06060606060606061, 'f1': 0.06557377049180328, 'count': 33}","{'precision': 0.5079365079365079, 'recall': 0.32, 'f1': 0.39263803680981596, 'count': 100}","{'precision': 0.8913043478260869, 'recall': 0.41, 'f1': 0.5616438356164384, 'count': 100}","{'precision': 0.4423076923076923, 'recall': 0.23, 'f1': 0.3026315789473685, 'count': 100}","{'precision': 0.5217391304347826, 'recall': 0.6451612903225806, 'f1': 0.5769230769230769, 'count': 93}","{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'count': 32}","{'precision': 0.4112903225806452, 'recall': 0.53125, 'f1': 0.4636363636363636, 'count': 96}","{'precision': 0.4714285714285714, 'recall': 0.39759036144578314, 'f1': 0.43137254901960786, 'count': 83}","{'precision': 0.5412844036697247, 'recall': 0.59, 'f1': 0.5645933014354066, 'count': 100}"
