,precision,recall,f1
airplane,0.7498182957393484,0.875,0.805860335125041
breathing,0.7441004471964224,0.8125,0.7756632741072969
brushing_teeth,0.47251491901108267,0.4875,0.47165952327242655
can_opening,0.6916666666666667,0.6875,0.6778571428571428
car_horn,0.8183823529411764,0.7875,0.7966750841750841
cat,0.5337550607287449,0.5875,0.5566871921182266
chainsaw,0.5067214175573309,0.4375,0.4598436250850044
chirping_birds,0.6288888888888889,0.5125,0.5476825396825398
church_bells,0.810053475935829,0.6125,0.6776616454035808
clapping,0.7538888888888889,0.6625,0.6977120128448402
clock_alarm,0.4980993832685944,0.55,0.5072017637534879
clock_tick,0.5915130568356375,0.7,0.6221648091860857
coughing,0.6091596638655462,0.6125,0.6067243867243868
cow,0.775,0.5125,0.5752991452991453
crackling_fire,0.563001508295626,0.55,0.5521708423821884
crickets,0.6556998556998558,0.4125,0.47106306306306306
crow,0.4340648723257418,0.4375,0.4236756629014694
crying_baby,0.7738095238095237,0.8625,0.8080180180180181
dog,0.9062908496732026,0.8875,0.8925738477209066
door_wood_creaks,0.7391385048643113,0.85,0.7723869967768591
door_wood_knock,0.6088239877531191,0.875,0.7105713825159643
drinking_sipping,0.6970057496682883,0.7,0.6868141768141769
engine,0.6746536796536796,0.775,0.7073218379669993
fireworks,0.4182883679787704,0.475,0.4433766233766234
footsteps,0.6537037037037037,0.75,0.6763502051983584
frog,0.44570175438596493,0.5375,0.47583440583440584
glass_breaking,0.4692307692307692,0.45,0.4456399119357963
hand_saw,0.6101298701298702,0.65,0.6203842940685046
helicopter,0.7115151515151515,0.8125,0.7516808149405773
hen,0.4990825315633499,0.3625,0.38708503091111784
insects,0.734786060173057,0.9,0.8043383643383644
keyboard_typing,0.752850482850483,0.5875,0.6526502698471552
laughing,0.5736331779675432,0.7125,0.6231855500821017
mouse_click,0.45606060606060606,0.2125,0.2782336182336182
pig,0.724151287309182,0.875,0.7873657115762379
pouring_water,0.42251748251748245,0.425,0.41378287801454927
rain,0.5648567119155354,0.375,0.43232383808095953
rooster,0.8984210526315788,0.8375,0.8522690929142543
sea_waves,0.836360698125404,0.6875,0.7396142837672073
sheep,0.8040709617180205,0.9,0.8451536028006617
siren,0.4054112554112554,0.3125,0.3513944359105649
sneezing,0.5751923076923077,0.6,0.5772263273125342
snoring,0.6521367521367522,0.6,0.6108620689655172
thunderstorm,0.686155462184874,0.5125,0.5703265936961589
toilet_flush,0.4284803921568628,0.45,0.4377443792766374
train,0.4786441102756892,0.5875,0.5211787048372415
vacuum_cleaner,0.6665603402445508,0.775,0.7089606368863335
washing_machine,0.4545729708887604,0.375,0.4078944044461286
water_drops,0.5912393162393162,0.55,0.5663648217907853
wind,0.7387142857142857,0.675,0.6694041563410286
