,epochs,mean_train_loss,mean_valid_loss,micro_recall,micro_precision,micro_f1,macro_recall,macro_precision,macro_f1
2,epoch_82,0.1143,1.601,0.6035,0.6035,0.6035,0.6035,0.619,0.588
1,epoch_72,0.1747,1.548,0.595,0.595,0.595,0.595,0.6025,0.586
3,epoch_73,0.1743,1.45,0.6323,0.6323,0.6323,0.6323,0.628,0.614
4,epoch_68,0.242,1.33,0.6562,0.6562,0.6562,0.6562,0.667,0.64
5,epoch_77,0.14400000000000002,1.629,0.63,0.63,0.63,0.63,0.6323,0.6177
