,epochs,mean_train_loss,mean_valid_loss,micro_recall,micro_precision,micro_f1,macro_recall,macro_precision,macro_f1
5,epoch_111,0.08997000000000001,1.3319999999999999,0.705,0.705,0.705,0.705,0.7246,0.69
1,epoch_82,0.2153,1.117,0.7163,0.7163,0.7163,0.7163,0.7324,0.711
2,epoch_92,0.1649,0.9946,0.7427,0.7427,0.7427,0.7427,0.7656,0.7344
3,epoch_100,0.1231,1.067,0.7390000000000001,0.7390000000000001,0.7390000000000001,0.7390000000000001,0.7490000000000001,0.7334
4,epoch_100,0.126,0.7759999999999999,0.7964,0.7964,0.7964,0.7964,0.8174,0.7905
